"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2023","Zona Interior","la Vall d'Alcalà","1126","347","526","6","146","4","49","48","",""
"2023","Zona Interior","la Vall d'Ebo","1138","493","434","5","201","","5","","",""
"2023","Zona Interior","la Vall de Gallinera","1228","436","626","6","50","27","41","","","42"
"2023","Zona Interior","la Vall de Laguar","991","315","443","1","210","2","20","","",""
"2023","Zona Intermedia","el Verger","1006","515","384","1","86","5","14","","",""
"2023","Zona Costa","els Poblets","1857","648","569","3","92","","520","26","",""
"2022","-","Comunitat Valenciana","1014","405","367","5","87","6","107","3","3","31"
"2022","-","Provincia de Alicante","987","393","386","4","79","4","96","4","2","19"
"2022","-","La Marina Alta","1045","402","417","3","152","3","52","3","","13"
"2022","-","Zona Costa","1536","606","573","8","203","2","114","5","","26"
"2022","-","Zona Intermedia","1017","441","366","2","152","1","34","2","","18"
"2022","-","Zona Interior","895","316","390","2","136","4","40","3","","5"
"2022","Zona Interior","l'Atzúbia","909","278","553","1","34","5","38","","",""
"2022","Zona Interior","Alcalalí","683","223","252","1","177","1","27","","","2"
"2022","Zona Interior","Beniarbeig","699","357","230","1","81","","3","","3","25"
"2022","Zona Interior","Benigembla","","","","","","","","","",""
"2022","Zona Interior","Benidoleig","864","361","368","2","117","","13","3","",""
"2022","Zona Interior","Benimeli","910","350","357","4","193","7","","","",""
"2022","Zona Intermedia","Benissa","1301","584","350","","367","","","","","1"
"2022","Zona Costa","Poble Nou de Benitatxell","1482","494","592","13","351","","18","11","","3"
"2022","Zona Costa","Calp","1671","746","584","10","137","7","113","1","","73"
"2022","Zona Interior","Castell de Castells","843","324","301","3","170","9","31","6","",""
"2022","Zona Costa","Dénia","1613","581","560","13","143","","238","1","","77"
"2022","Zona Intermedia","Gata de Gorgos","761","374","322","","61","3","","","",""
"2022","Zona Intermedia","Xaló","872","376","293","2","131","","52","19","",""
"2022","Zona Costa","Xàbia/Jávea","1368","563","652","5","104","","44","","",""
"2022","Zona Intermedia","Llíber","1212","431","430","10","243","9","14","","","75"
"2022","Zona Interior","Murla","1077","242","634","4","141","","56","","",""
"2022","Zona Intermedia","Ondara","1030","378","523","","76","","52","","1",""
"2022","Zona Interior","Orba","884","347","313","3","143","4","35","","","38"
"2022","Zona Interior","Parcent","834","349","354","1","116","","6","8","",""
"2022","Zona Intermedia","Pedreguer","1096","444","363","","113","","171","2","","2"
"2022","Zona Intermedia","Pego","1042","519","323","7","105","","","","","87"
"2022","Zona Interior","el Ràfol d'Almúnia","907","216","463","2","199","18","10","","",""
"2022","Zona Interior","Sagra","790","295","343","","151","","","","",""
"2022","Zona Interior","Sanet y Negrals","799","262","373","4","142","","","19","",""
"2022","Zona Intermedia","Senija","857","359","324","1","169","","5","","",""
"2022","Zona Costa","Teulada","1642","616","477","4","403","7","135","","",""
"2022","Zona Interior","Tormos","1649","470","575","1","220","5","378","","",""
"2022","Zona Interior","la Vall d'Alcalà","1003","366","428","6","140","4","46","12","",""
"2022","Zona Interior","la Vall d'Ebo","1121","495","438","5","178","","5","","",""
"2022","Zona Interior","la Vall de Gallinera","1148","436","607","2","34","12","26","","","33"
"2022","Zona Interior","la Vall de Laguar","992","309","434","1","206","2","40","","",""
"2022","Zona Intermedia","el Verger","981","503","370","1","99","","8","","",""
"2022","Zona Costa","els Poblets","1442","633","570","4","80","","136","19","",""
"2021","-","Comunitat Valenciana","1022","408","370","5","88","7","108","3","3","31"
"2021","-","Provincia de Alicante","998","397","390","4","80","4","98","4","2","19"
"2021","-","La Marina Alta","1043","399","1043","4","156","3","52","4","","16"
